"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","gene_symbol","ensembl_id","feature_num"
2.70654596150217e-42,2.04979144875428,0.407,0.086,4.18946249380921e-38,"25","Feature4287","Cpne2",NA,4287
3.98968040185281e-42,2.16951451236931,0.387,0.078,6.17562629402796e-38,"25","Feature18159","Tchp",NA,18159
4.02887745525331e-42,1.35787504172332,0.287,0.044,6.23629941298659e-38,"25","Feature14850","Prodh",NA,14850
5.60584754708536e-42,1.98514190221704,0.393,0.08,8.67729141813343e-38,"25","Feature8029","Gsr",NA,8029
9.08037121526554e-42,1.62494038299396,0.433,0.094,1.40555066041095e-37,"25","Feature18556","Tmem179b",NA,18556
9.99652185350759e-42,1.82730255895942,0.653,0.216,1.54736161770444e-37,"25","Feature352","1810009A15Rik",NA,352
1.15386256295956e-41,2.10191344650528,0.34,0.063,1.7860638612051e-37,"25","Feature5998","Fam161b",NA,5998
1.29687513873215e-41,1.99991119497896,0.313,0.054,2.00743302724349e-37,"25","Feature15812","Rnft1",NA,15812
1.42189956578676e-41,2.50384119117625,0.313,0.055,2.20095833788133e-37,"25","Feature5688","Enah",NA,5688
1.75996963175758e-41,1.77995916084446,0.387,0.077,2.72425699299756e-37,"25","Feature3638","Cdk5rap2",NA,3638
2.16626181289831e-41,1.73232767633715,0.567,0.157,3.35315666018529e-37,"25","Feature9183","Kbtbd11",NA,9183
4.7909469373853e-41,1.86949190259025,0.5,0.128,7.4159067643787e-37,"25","Feature8771","Ift57",NA,8771
5.58949531518502e-41,1.80952698217205,0.487,0.12,8.65197979837489e-37,"25","Feature11280","Morn2",NA,11280
7.42497973224231e-41,1.62430980178243,0.653,0.207,1.14931261275379e-36,"25","Feature12185","Nr1d1",NA,12185
8.74324567352104e-41,1.9696091729821,0.54,0.15,1.35336699780432e-36,"25","Feature14046","Per1",NA,14046
1.07164675172975e-40,1.8415122248824,0.573,0.166,1.65880200700249e-36,"25","Feature14536","Polr3h",NA,14536
2.34666186079663e-40,1.13100834609322,0.54,0.14,3.6323978943271e-36,"25","Feature1355","Ablim1",NA,1355
3.38838645801196e-40,1.71475946397896,0.567,0.162,5.24488339835672e-36,"25","Feature8768","Ift27",NA,8768
7.73468454150191e-40,1.8475382698159,0.307,0.053,1.19725182017908e-35,"25","Feature15046","Ptbp1",NA,15046
7.74478795387123e-40,0.806108031783638,0.6,0.162,1.19881572737973e-35,"25","Feature12007","Nkain4",NA,12007
